"Name", "ShortName", "ModeAndPID", "Equation", "Min Value", "Max Value", "Units", "Header", "startDiagnostic", "stopDiagnostic", "Scale"
"ST_AIR CONDITIONING COMPRESSOR","ET321","0x21a4","{C:2}",0,0,"","827AF1","null","null",1
"ST_ALCOHOL LEVEL PROG.","ET671","0x21ab","P",0,0,"","827AF1","null","null",1
"ST_BRAKE PEDAL","ET237","0x21ce","{I:0}",0,0,"","827AF1","null","null",1
"ST_CANISTER BLEED CONTROL","ET050","0x21a4","{B:6}",0,0,"","827AF1","null","null",1
"ST_CATALYTIC CONVERTER OBD DIAGNOSTIC","LC113","0x21ae","{D:5}",0,0,"","827AF1","null","null",1
"ST_CLUTCH PEDAL SWITCH","ET405","0x21ce","{G:0}",0,0,"","827AF1","null","null",1
"ST_COMPUTER + AFTER IGNITION","ET001","0x21a2","{A:7}",0,0,"","827AF1","null","null",1
"ST_CYLINDER 1 RECOGNITION","ET061","0x21a2","{C:0}",0,0,"","827AF1","null","null",1
"ST_DEFECT MODE TYPE 1","ET564","0x21a0","{L:7}",0,0,"","827AF1","null","null",1
"ST_DEFECT MODE TYPE 2","ET565","0x21a0","{L:6}",0,0,"","827AF1","null","null",1
"ST_DEFECT MODE TYPE 3","ET566","0x21a0","{L:5}",0,0,"","827AF1","null","null",1
"ST_DEFECT MODE TYPE 4","ET567","0x21a0","{L:4}",0,0,"","827AF1","null","null",1
"ST_DEFECT MODE TYPE 5","ET568","0x21a0","{L:3}",0,0,"","827AF1","null","null",1
"ST_DOUBLE RICHNESS LOOP","ET056","0x21a2","{C:5}",0,0,"","827AF1","null","null",1
"ST_DOWNSTREAM OXYGEN SENSOR","LC004","0x21ae","{A:1}",0,0,"","827AF1","null","null",1
"ST_DOWNSTREAM OXYGEN SENSOR HEATING","ET053","0x21a4","{B:4}",0,0,"","827AF1","null","null",1
"ST_ENGINE IMMOBILISER","ET003","0x21a2","{D:4}",0,0,"","827AF1","null","null",1
"ST_ETAT PRIVE 2","ET091","0x21ad","{A:7}",0,0,"","827AF1","null","null",1
"ST_ETAT PRIVE 4","ET097","0x21ad","{A:5}",0,0,"","827AF1","null","null",1
"ST_FAN UNIT HIGH SPEED RELAY CONTROL","ET144","0x21a4","{A:4}",0,0,"","827AF1","null","null",1
"ST_FAN UNIT SLOW SPEED RELAY CONTROL","ET143","0x21a4","{A:5}",0,0,"","827AF1","null","null",1
"ST_FLYWHEEL SIGNAL","ET062","0x21a2","{D:7}",0,0,"","827AF1","null","null",1
"ST_FLYWHEEL TARGET PROGRAMMING","ET089","0x21a9","R",0,0,"","827AF1","null","null",1
"ST_FUEL PUMP RELAY COMMAND.","ET290","0x21a4","{A:6}",0,0,"","827AF1","null","null",1
"ST_IDLE CONTROL","ET054","0x21a2","{C:6}",0,0,"","827AF1","null","null",1
"ST_IMMOBILISER CODE PROGRAMMED","ET341","0x21a2","{D:3}",0,0,"","827AF1","null","null",1
"ST_IMPACT DETECTED","ET077","0x21cf","E",0,0,"","827AF1","null","null",1
"ST_INLET CAMSHAFT SHIFTER","LC008","0x21a4","T",0,0,"","827AF1","null","null",1
"ST_MOTOR","ET038","0x21cd","((K>2)&3)",0,0,"","827AF1","null","null",1
"ST_OXYGEN SENSOR OBD DIAGN.","LC117","0x21ae","{D:7}",0,0,"","827AF1","null","null",1
"ST_PROGRAMMING THROTTLE LIMITS","ET051","0x21a2","{C:2}",0,0,"","827AF1","null","null",1
"ST_REQUEST CATLAYTIC CONVERTER F. FINDING","ET347","0x21ae","{D:5}",0,0,"","827AF1","null","null",1
"ST_REQUEST FOR SENSOR FAULT FINDING","ET346","0x21ae","{D:7}",0,0,"","827AF1","null","null",1
"ST_RICHNESS REGULATION","ET300","0x21a2","{C:7}",0,0,"","827AF1","null","null",1
"ST_STARTING","ET076","0x21cd","{J:0}",0,0,"","827AF1","null","null",1
"ST_TEST RESULT K","ET092","0x21c5","K",0,0,"","827AF1","null","null",1
"ST_TEST RESULT N","ET101","0x21c5","N",0,0,"","827AF1","null","null",1
"ST_UPSTREAM O2 SENSOR HEATING","ET052","0x21a4","{B:3}",0,0,"","827AF1","null","null",1
"ST_WATER PUMP STRATEGY","LC015","0x21ae","{N:1}",0,0,"","827AF1","null","null",1
